,Location,Industry,Edition,Category,Subcategory,Hierarchy_Level,Data_Type,Outlet,Outlet_Hierarchy,Unit,Year_text,Year_date,Volume
37,3,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2014,"Wednesday, 31 December 2014",954524.8795
38,3,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2015,"Thursday, 31 December 2015",1041447.991
39,3,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2016,"Saturday, 31 December 2016",1225809.7680000002
40,3,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2017,"Sunday, 31 December 2017",1272608.979
41,3,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2018,"Monday, 31 December 2018",1275200.1709999999
42,3,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2019,"Tuesday, 31 December 2019",1245600.776
43,3,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2020,"Thursday, 31 December 2020",1281698.565
44,3,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2021,"Friday, 31 December 2021",1314849.1260000002
45,4,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2007,"Monday, 31 December 2007",2851480.5470000003
46,4,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2008,"Wednesday, 31 December 2008",3012879.36
47,4,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2009,"Thursday, 31 December 2009",3204334.693
48,4,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2010,"Friday, 31 December 2010",3432131.323
49,4,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2011,"Saturday, 31 December 2011",3708793.219
50,4,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2012,"Monday, 31 December 2012",3690169.4299999997
51,4,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2013,"Tuesday, 31 December 2013",3747622.542
52,4,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2014,"Wednesday, 31 December 2014",3705497.658
53,4,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2015,"Thursday, 31 December 2015",3647646.55
54,4,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2016,"Saturday, 31 December 2016",3712059.1890000002
55,4,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2017,"Sunday, 31 December 2017",3730123.38
56,4,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2018,"Monday, 31 December 2018",3811532.919
57,4,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2019,"Tuesday, 31 December 2019",3827867.144
58,4,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2020,"Thursday, 31 December 2020",3477529.9340000004
59,4,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2021,"Friday, 31 December 2021",3490710.7580000004
60,5,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2007,"Monday, 31 December 2007",4468827.07
61,5,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2008,"Wednesday, 31 December 2008",4628663.923
62,5,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2009,"Thursday, 31 December 2009",4895915.203
63,5,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2010,"Friday, 31 December 2010",5110190.402
64,5,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2011,"Saturday, 31 December 2011",5235445.565
65,5,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2012,"Monday, 31 December 2012",5480196.9
66,5,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2013,"Tuesday, 31 December 2013",5627011.55
67,5,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2014,"Wednesday, 31 December 2014",5505369.141
68,5,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2015,"Thursday, 31 December 2015",5646076.842999999
69,5,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2016,"Saturday, 31 December 2016",5800711.599
70,5,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2017,"Sunday, 31 December 2017",5894056.0139999995
71,5,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2018,"Monday, 31 December 2018",6024256.409
72,5,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2019,"Tuesday, 31 December 2019",6183858.351
73,5,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2020,"Thursday, 31 December 2020",6332976.954
74,5,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2021,"Friday, 31 December 2021",6467912.797
75,6,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2007,"Monday, 31 December 2007",5903726.510000001
76,6,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2008,"Wednesday, 31 December 2008",5939877.74
77,6,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2009,"Thursday, 31 December 2009",5898444.737
78,6,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2010,"Friday, 31 December 2010",5979117.958
79,6,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2011,"Saturday, 31 December 2011",6067530.078
80,6,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2012,"Monday, 31 December 2012",6275056.722999999
81,6,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2013,"Tuesday, 31 December 2013",6244570.149999999
82,6,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2014,"Wednesday, 31 December 2014",6221842.438
83,6,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2015,"Thursday, 31 December 2015",5966369.1280000005
84,6,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2016,"Saturday, 31 December 2016",5739119.655
85,6,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2017,"Sunday, 31 December 2017",5948624.348
86,6,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2018,"Monday, 31 December 2018",5893162.836
87,6,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2019,"Tuesday, 31 December 2019",5968146.404
88,6,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2020,"Thursday, 31 December 2020",5947176.102
89,6,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2021,"Friday, 31 December 2021",6014875.688
90,7,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2007,"Monday, 31 December 2007",2920166.254
91,7,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2008,"Wednesday, 31 December 2008",2760164.216
92,7,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2009,"Thursday, 31 December 2009",2753553.1799999997
93,7,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2010,"Friday, 31 December 2010",2759889.528
94,7,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2011,"Saturday, 31 December 2011",2629618.668
95,7,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2012,"Monday, 31 December 2012",2684180.17
96,7,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2013,"Tuesday, 31 December 2013",2680082.234
97,7,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2014,"Wednesday, 31 December 2014",2591159.8669999996
98,7,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2015,"Thursday, 31 December 2015",2582964.503
99,7,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2016,"Saturday, 31 December 2016",2589796.559
100,7,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2017,"Sunday, 31 December 2017",2531792.714
101,7,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2018,"Monday, 31 December 2018",2507281.391
102,7,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2019,"Tuesday, 31 December 2019",2428319.985
103,7,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2020,"Thursday, 31 December 2020",2422409.227
104,7,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2021,"Friday, 31 December 2021",2415957.1769999997
105,1,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2007,"Monday, 31 December 2007",1.490922408
106,1,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2008,"Wednesday, 31 December 2008",1.372390266
107,1,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2009,"Thursday, 31 December 2009",1.315863411
108,1,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2010,"Friday, 31 December 2010",1.26964939
109,1,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2011,"Saturday, 31 December 2011",1.252933261
110,1,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2012,"Monday, 31 December 2012",1.239903723
111,1,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2013,"Tuesday, 31 December 2013",1.243979009
112,1,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2014,"Wednesday, 31 December 2014",1.225845521
113,1,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2015,"Thursday, 31 December 2015",1.225371781
114,1,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2016,"Saturday, 31 December 2016",1.202578767
115,1,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2017,"Sunday, 31 December 2017",1.333141344
116,1,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2018,"Monday, 31 December 2018",1.398380911
117,1,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2019,"Tuesday, 31 December 2019",1.473054979
118,1,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2020,"Thursday, 31 December 2020",1.655613159
119,1,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2021,"Friday, 31 December 2021",1.799331458
120,2,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2007,"Monday, 31 December 2007",13.96896815
121,2,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2008,"Wednesday, 31 December 2008",14.09511555
122,2,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2009,"Thursday, 31 December 2009",14.8670674
123,2,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2010,"Friday, 31 December 2010",15.75953766
124,2,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2011,"Saturday, 31 December 2011",18.52082419
125,2,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2012,"Monday, 31 December 2012",22.3242736
126,2,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2013,"Tuesday, 31 December 2013",28.22874142
127,2,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2014,"Wednesday, 31 December 2014",36.11766111
128,2,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2015,"Thursday, 31 December 2015",46.25140641
129,2,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2016,"Saturday, 31 December 2016",60.76991041
130,2,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2017,"Sunday, 31 December 2017",69.00662167
131,2,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2018,"Monday, 31 December 2018",79.41235689
132,2,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2019,"Tuesday, 31 December 2019",85.76700023
133,2,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2020,"Thursday, 31 December 2020",93.90873386
134,2,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2021,"Friday, 31 December 2021",101.2606903
135,3,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2007,"Monday, 31 December 2007",0.115168162
136,3,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2008,"Wednesday, 31 December 2008",0.216561325
137,3,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2009,"Thursday, 31 December 2009",0.332112551
138,3,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2010,"Friday, 31 December 2010",0.336176145
139,3,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2011,"Saturday, 31 December 2011",0.3831917
140,3,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2012,"Monday, 31 December 2012",0.322094113
141,3,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2013,"Tuesday, 31 December 2013",0.31786322
142,3,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2014,"Wednesday, 31 December 2014",0.34613708
143,3,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2015,"Thursday, 31 December 2015",0.510234851
144,3,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2016,"Saturday, 31 December 2016",0.645851022
145,3,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2017,"Sunday, 31 December 2017",0.93007877
146,3,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2018,"Monday, 31 December 2018",1.868641204
147,3,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2019,"Tuesday, 31 December 2019",2.914503195
148,3,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2020,"Thursday, 31 December 2020",3.514904806
149,3,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2021,"Friday, 31 December 2021",4.081940425
150,4,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2007,"Monday, 31 December 2007",33.12375796
151,4,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2008,"Wednesday, 31 December 2008",34.9637253
152,4,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2009,"Thursday, 31 December 2009",35.7151316
153,4,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2010,"Friday, 31 December 2010",36.79222469
154,4,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2011,"Saturday, 31 December 2011",36.44605986
155,4,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2012,"Monday, 31 December 2012",36.6940342
156,4,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2013,"Tuesday, 31 December 2013",34.54225236
157,4,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2014,"Wednesday, 31 December 2014",36.21499518
158,4,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2015,"Thursday, 31 December 2015",38.03450379
159,4,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2016,"Saturday, 31 December 2016",39.64940422
160,4,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2017,"Sunday, 31 December 2017",36.81560827
161,4,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2018,"Monday, 31 December 2018",37.27668779
