,Location,Industry,Subcategory_ID,Hierarchy_Level,Data_Type,Global_Brand_Owner,Unit,Year_text,Year_date,Year_minus_2016,Volume,competitors
38,8,Alcoholic Drinks,13,1,Total Volume,Warsteiner Brauerei Haus Cramer GmbH  Co KG,1000 litres,2016,31-12-16,4,379501.7431,rest of the competitors
39,8,Alcoholic Drinks,13,1,Total Volume,Royal Unibrew AS,1000 litres,2016,31-12-16,4,208377.8782,rest of the competitors
40,8,Alcoholic Drinks,13,1,Total Volume,Olvi Oyj,1000 litres,2016,31-12-16,4,279643.8919,rest of the competitors
41,8,Alcoholic Drinks,13,1,Total Volume,Cervecera Centroamericana SA,1000 litres,2016,31-12-16,4,144658.509,rest of the competitors
42,8,Alcoholic Drinks,13,1,Total Volume,Brau Holding International AG,1000 litres,2016,31-12-16,4,283968.9949,rest of the competitors
43,8,Alcoholic Drinks,13,1,Total Volume,Boston Beer Co Inc The,1000 litres,2016,31-12-16,4,285419.5146,rest of the competitors
44,8,Alcoholic Drinks,13,1,Total Volume,Bavaria NV,1000 litres,2016,31-12-16,4,204282.1003,rest of the competitors
45,8,Alcoholic Drinks,13,1,Total Volume,BGI Ethiopia Plc,1000 litres,2016,31-12-16,4,110000.0024,rest of the competitors
46,8,Alcoholic Drinks,13,1,Total Volume,Ochakovo MPBK ZAO,1000 litres,2016,31-12-16,4,252495.4917,rest of the competitors
47,8,Alcoholic Drinks,13,1,Total Volume,Erdinger Privatbrauerei Weissbru Werner Brombach GmbH,1000 litres,2016,31-12-16,4,198220.0553,rest of the competitors
48,8,Alcoholic Drinks,13,1,Total Volume,Karlsberg Brauerei GmbH  Co KG,1000 litres,2016,31-12-16,4,217809.2267,rest of the competitors
49,8,Alcoholic Drinks,13,1,Total Volume,Behnoush Iran Co,1000 litres,2016,31-12-16,4,194184.4036,rest of the competitors
50,8,Alcoholic Drinks,13,1,Total Volume,Cisneros Grupo,1000 litres,2016,31-12-16,4,317593.6067,rest of the competitors
51,8,Alcoholic Drinks,13,1,Total Volume,Asia Brewery Inc,1000 litres,2016,31-12-16,4,478614.4925,rest of the competitors
52,8,Alcoholic Drinks,13,1,Total Volume,SABMiller Plc,1000 litres,2016,31-12-16,4,18146175.43,rest of the competitors
53,8,Alcoholic Drinks,13,1,Total Volume,Unicer  Bebidas de Portugal SA,1000 litres,2016,31-12-16,4,279062.7358,rest of the competitors
54,8,Alcoholic Drinks,13,1,Total Volume,China Resources Enterprise Ltd,1000 litres,2016,31-12-16,4,10619640.7,rest of the competitors
55,8,Alcoholic Drinks,13,1,Total Volume,Pabst Brewing Co,1000 litres,2016,31-12-16,4,1101574.601,rest of the competitors
56,8,Alcoholic Drinks,13,1,Total Volume,Oriental Brewery Co Ltd,1000 litres,2016,31-12-16,4,1080866.152,rest of the competitors
57,8,Alcoholic Drinks,13,1,Total Volume,Nantong Fuhao Alcohol Industry Co Ltd,1000 litres,2016,31-12-16,4,364099.9947,rest of the competitors
58,8,Alcoholic Drinks,13,1,Total Volume,Modelo SA de CV Grupo,1000 litres,2016,31-12-16,4,5578175.039,rest of the competitors
59,8,Alcoholic Drinks,13,1,Total Volume,Chongqing Brewery Co Ltd,1000 litres,2016,31-12-16,4,1140302.459,rest of the competitors
60,8,Alcoholic Drinks,13,1,Total Volume,Kingway Brewery Holdings Ltd,1000 litres,2016,31-12-16,4,764690.083,rest of the competitors
61,8,Alcoholic Drinks,13,1,Total Volume,Lanzhou Huanghe Beer Co Ltd,1000 litres,2016,31-12-16,4,281540.0094,rest of the competitors
62,8,Alcoholic Drinks,13,1,Total Volume,Private Label,1000 litres,2016,31-12-16,4,1735877.818,rest of the competitors
63,8,Alcoholic Drinks,13,1,Total Volume,Others,1000 litres,2016,31-12-16,4,30053866.42,rest of the competitors
64,8,Alcoholic Drinks,13,1,Total Volume,AnheuserBusch InBev NV,1000 litres,2017,31-12-17,5,39275082.73,rest of the competitors
65,8,Alcoholic Drinks,13,1,Total Volume,AnheuserBusch InBev NV,1000 litres,2018,31-12-18,6,41143357.65,rest of the competitors
66,8,Alcoholic Drinks,13,1,Total Volume,AnheuserBusch InBev NV,1000 litres,2019,31-12-19,7,41080236,rest of the competitors
67,8,Alcoholic Drinks,13,1,Total Volume,AnheuserBusch InBev NV,1000 litres,2020,31-12-20,8,52147568.99,rest of the competitors
68,8,Alcoholic Drinks,13,1,Total Volume,AnheuserBusch InBev NV,1000 litres,2021,31-12-21,9,52545433.07,rest of the competitors
69,8,Alcoholic Drinks,13,1,Total Volume,Heineken NV,1000 litres,2017,31-12-17,5,18383000.48,rest of the competitors
70,8,Alcoholic Drinks,13,1,Total Volume,Heineken NV,1000 litres,2018,31-12-18,6,18663088.48,rest of the competitors
71,8,Alcoholic Drinks,13,1,Total Volume,Heineken NV,1000 litres,2019,31-12-19,7,19276497.97,rest of the competitors
72,8,Alcoholic Drinks,13,1,Total Volume,Heineken NV,1000 litres,2020,31-12-20,8,19636557.25,rest of the competitors
73,8,Alcoholic Drinks,13,1,Total Volume,Heineken NV,1000 litres,2021,31-12-21,9,21466107.02,rest of the competitors
74,8,Alcoholic Drinks,13,1,Total Volume,China Resources Holdings Co Ltd,1000 litres,2019,31-12-19,7,11651570.49,rest of the competitors
75,8,Alcoholic Drinks,13,1,Total Volume,China Resources Holdings Co Ltd,1000 litres,2020,31-12-20,8,11715000.23,rest of the competitors
76,8,Alcoholic Drinks,13,1,Total Volume,China Resources Holdings Co Ltd,1000 litres,2021,31-12-21,9,11889369.87,rest of the competitors
77,8,Alcoholic Drinks,13,1,Total Volume,Carlsberg AS,1000 litres,2017,31-12-17,5,12552803.37,rest of the competitors
78,8,Alcoholic Drinks,13,1,Total Volume,Carlsberg AS,1000 litres,2018,31-12-18,6,12252602.98,rest of the competitors
79,8,Alcoholic Drinks,13,1,Total Volume,Carlsberg AS,1000 litres,2019,31-12-19,7,11953699.42,rest of the competitors
80,8,Alcoholic Drinks,13,1,Total Volume,Carlsberg AS,1000 litres,2020,31-12-20,8,11850364.89,rest of the competitors
81,8,Alcoholic Drinks,13,1,Total Volume,Carlsberg AS,1000 litres,2021,31-12-21,9,11818710.26,rest of the competitors
82,8,Alcoholic Drinks,13,1,Total Volume,Dragonyte Brewery,1000 litres,2017,31-12-17,5,6194650.083,Dragonyte Brewery
83,8,Alcoholic Drinks,13,1,Total Volume,Dragonyte Brewery,1000 litres,2018,31-12-18,6,6079809.595,Dragonyte Brewery
84,8,Alcoholic Drinks,13,1,Total Volume,Dragonyte Brewery,1000 litres,2019,31-12-19,7,6037151.311,Dragonyte Brewery
85,8,Alcoholic Drinks,13,1,Total Volume,Dragonyte Brewery,1000 litres,2020,31-12-20,8,9578013.392,Dragonyte Brewery
86,8,Alcoholic Drinks,13,1,Total Volume,Dragonyte Brewery,1000 litres,2021,31-12-21,9,9397028.934,Dragonyte Brewery
87,8,Alcoholic Drinks,13,1,Total Volume,Tsingtao Brewery Co Ltd,1000 litres,2017,31-12-17,5,8612632.354,rest of the competitors
88,8,Alcoholic Drinks,13,1,Total Volume,Tsingtao Brewery Co Ltd,1000 litres,2018,31-12-18,6,9053962.33,rest of the competitors
89,8,Alcoholic Drinks,13,1,Total Volume,Tsingtao Brewery Co Ltd,1000 litres,2019,31-12-19,7,8473851.931,rest of the competitors
90,8,Alcoholic Drinks,13,1,Total Volume,Tsingtao Brewery Co Ltd,1000 litres,2020,31-12-20,8,7948324.385,rest of the competitors
91,8,Alcoholic Drinks,13,1,Total Volume,Tsingtao Brewery Co Ltd,1000 litres,2021,31-12-21,9,8064157.691,rest of the competitors
92,8,Alcoholic Drinks,13,1,Total Volume,Asahi Group Holdings Ltd,1000 litres,2017,31-12-17,5,2253437.304,rest of the competitors
93,8,Alcoholic Drinks,13,1,Total Volume,Asahi Group Holdings Ltd,1000 litres,2018,31-12-18,6,2241465.146,rest of the competitors
94,8,Alcoholic Drinks,13,1,Total Volume,Asahi Group Holdings Ltd,1000 litres,2019,31-12-19,7,2218974.341,rest of the competitors
95,8,Alcoholic Drinks,13,1,Total Volume,Asahi Group Holdings Ltd,1000 litres,2020,31-12-20,8,6347230.31,rest of the competitors
96,8,Alcoholic Drinks,13,1,Total Volume,Asahi Group Holdings Ltd,1000 litres,2021,31-12-21,9,6330037.814,rest of the competitors
97,8,Alcoholic Drinks,13,1,Total Volume,Beijing Yanjing Brewery Co Ltd,1000 litres,2017,31-12-17,5,5685392.992,rest of the competitors
98,8,Alcoholic Drinks,13,1,Total Volume,Beijing Yanjing Brewery Co Ltd,1000 litres,2018,31-12-18,6,5327913.134,rest of the competitors
99,8,Alcoholic Drinks,13,1,Total Volume,Beijing Yanjing Brewery Co Ltd,1000 litres,2019,31-12-19,7,4837773.892,rest of the competitors
100,8,Alcoholic Drinks,13,1,Total Volume,Beijing Yanjing Brewery Co Ltd,1000 litres,2020,31-12-20,8,4493505.25,rest of the competitors
101,8,Alcoholic Drinks,13,1,Total Volume,Beijing Yanjing Brewery Co Ltd,1000 litres,2021,31-12-21,9,4684668.424,rest of the competitors
102,8,Alcoholic Drinks,13,1,Total Volume,Kirin Holdings Co Ltd,1000 litres,2017,31-12-17,5,4521516.581,rest of the competitors
103,8,Alcoholic Drinks,13,1,Total Volume,Kirin Holdings Co Ltd,1000 litres,2018,31-12-18,6,4266661.004,rest of the competitors
104,8,Alcoholic Drinks,13,1,Total Volume,Kirin Holdings Co Ltd,1000 litres,2019,31-12-19,7,4298312.544,rest of the competitors
105,8,Alcoholic Drinks,13,1,Total Volume,Kirin Holdings Co Ltd,1000 litres,2020,31-12-20,8,4038236.031,rest of the competitors
106,8,Alcoholic Drinks,13,1,Total Volume,Kirin Holdings Co Ltd,1000 litres,2021,31-12-21,9,2763065.364,rest of the competitors
107,8,Alcoholic Drinks,13,1,Total Volume,Diageo Plc,1000 litres,2017,31-12-17,5,1826571.202,rest of the competitors
108,8,Alcoholic Drinks,13,1,Total Volume,Diageo Plc,1000 litres,2018,31-12-18,6,1842784.28,rest of the competitors
109,8,Alcoholic Drinks,13,1,Total Volume,Diageo Plc,1000 litres,2019,31-12-19,7,1743241.742,rest of the competitors
110,8,Alcoholic Drinks,13,1,Total Volume,Diageo Plc,1000 litres,2020,31-12-20,8,2455008.651,rest of the competitors
111,8,Alcoholic Drinks,13,1,Total Volume,Diageo Plc,1000 litres,2021,31-12-21,9,2508306.602,rest of the competitors
112,8,Alcoholic Drinks,13,1,Total Volume,Constellation Brands Inc,1000 litres,2017,31-12-17,5,1506373.588,rest of the competitors
113,8,Alcoholic Drinks,13,1,Total Volume,Constellation Brands Inc,1000 litres,2018,31-12-18,6,1670817.872,rest of the competitors
114,8,Alcoholic Drinks,13,1,Total Volume,Constellation Brands Inc,1000 litres,2019,31-12-19,7,1859013.286,rest of the competitors
115,8,Alcoholic Drinks,13,1,Total Volume,Constellation Brands Inc,1000 litres,2020,31-12-20,8,2073769.748,rest of the competitors
